lon,lat,MunicipalityID,Department Name,Municipality Name,Rural Population,Urban Population,Total Population
-74.30625813,8.478012398,12471,Bolivar,Tiquisio,14360,4426,18786
-76.31746466,8.422905048,11938,Antioquia,San Pedro De Uraba,17093,11679,28772
-75.39792844,8.463564942,12106,Cordoba,Pueblo Nuevo,20359,11177,31536
-73.16597738,8.441785605,12456,Norte de Santander,San Calixto,10764,1817,12581
-75.61641524,8.313321763,12146,Cordoba,Planeta Rica,23369,38323,61692
-74.68727375,8.368090349,11582,Sucre,Guaranda,9802,5696,15498
-73.62439764,8.243963259,11891,Cesar,Aguachica,13296,69039,82335
-75.04607332,8.241418495,12189,Cordoba,Ayapel,22086,20456,42542
-73.09632494,8.343893905,11665,Norte de Santander,Hacari,9038,1083,10121
-73.72424985,8.312270634,12370,Cesar,Gamarra,6484,7988,14472
-73.94070514,8.249968857,12105,Bolivar,Morales,13620,4903,18523
-74.45817243,7.995643584,12306,Bolivar,Montecristo,9893,7080,16973
-73.40032407,8.367355615,11708,Cesar,Gonzalez,7659,1593,9252
-72.82039209,8.234241538,12276,Norte de Santander,Sardinata,14308,8425,22733
-76.73758234,8.004211403,12561,Antioquia,Turbo,74660,47259,121919
-76.2233103,8.228316272,12120,Cordoba,Valencia,21999,12374,34373
-72.52179113,8.073408335,12376,Norte de Santander,Cucuta,20012,567664,587676
-73.34917448,8.216439525,12517,Norte de Santander,Ocana,11690,78827,90517
-74.66475501,8.166059061,12638,Bolivar,San Jacinto Del Cauca,8342,2593,10935
-72.46243453,8.305181209,12039,Norte de Santander,Puerto Santander,673,8047,8720
-77.11285371,8.105915987,11771,Choco,Unguia,10275,4269,14544
-75.44481252,8.176978963,12329,Cordoba,Buenavista,12251,6760,19011
-76.17713132,7.805740478,11755,Cordoba,Tierralta,45895,32875,78770
-73.2079417,8.240063718,11765,Norte de Santander,La Playa,7732,663,8395
-73.50676129,8.158836091,12431,Cesar,Rio De Oro,8678,5728,14406
-74.13512013,8.19705314,12414,Bolivar,Arenal,11451,3963,15414
-72.65985762,8.065442489,12562,Norte de Santander,El Zulia,9004,11305,20309
-73.18507643,8.000049161,12110,Norte de Santander,Abrego,20119,14373,34492
-74.85779925,7.998044784,12222,Antioquia,Nechi,10228,10440,20668
-72.94723373,8.060009339,12286,Norte de Santander,Bucarasica,4011,550,4561
-75.72657034,7.878992509,12324,Cordoba,Montelibano,24223,49024,73247
-74.67892873,7.744438902,12154,Antioquia,El Bagre,20625,25395,46020
-73.97922228,7.816325509,12575,Bolivar,Simiti,11734,6684,18418
-75.30101629,8.030584205,11981,Cordoba,La Apartada,2767,9935,12702
-73.80505743,7.536626719,12440,Santander,Puerto Wilches,15798,15705,31503
-74.27587905,7.697617558,12318,Bolivar,Santa Rosa Del Sur,20023,13992,34015
-73.61078112,7.91372539,11638,Cesar,San Martin,9567,7745,17312
-73.00671809,7.915562928,12249,Norte de Santander,Villa Caro,3272,1772,5044
-76.57313265,7.904052362,12610,Antioquia,Apartado,19518,111887,131405
-75.0134869,7.842802572,12407,Antioquia,Caucasia,18064,69468,87532
-73.46752931,7.836608745,11895,Cesar,San Alberto,5809,14209,20018
-72.86757872,7.941929268,12446,Norte de Santander,Lourdes,2227,1221,3448
-72.8220057,7.878482117,12215,Norte de Santander,Gramalote,3368,2961,6329
-75.23403347,7.666670501,12595,Antioquia,Caceres,22736,6209,28945
-75.78311835,7.681812416,12087,Cordoba,Puerto Libertador,22011,13175,35186
-72.73753697,7.869308857,12173,Norte de Santander,Santiago,1503,1176,2679
-72.63787245,7.828870371,12545,Norte de Santander,San Cayetano,2906,1587,4493
-77.34626852,7.374159189,12148,Choco,Riosucio,7202,7121,14323
-76.66269624,7.800925974,11673,Antioquia,Carepa,14020,29105,43125
-72.89475899,7.755031596,12260,Norte de Santander,Salazar,5851,3600,9451
-72.52355022,7.755445373,12439,Norte de Santander,Villa Del Rosario,3079,66754,69833
-73.19647695,7.65717673,12304,Norte de Santander,Cachira,9125,1494,10619
-72.7002872,7.719156503,12150,Norte de Santander,Durania,2308,1981,4289
-72.56919969,7.705405009,12671,Norte de Santander,Los Patios,2162,65119,67281
-73.40718934,7.686024683,11726,Norte de Santander,La Esperanza,9631,1322,10953
-76.63891542,7.64417482,12392,Antioquia,Chigorodo,9280,49631,58911
-75.5049078,7.493027716,12680,Antioquia,Taraza,15091,17852,32943
-72.68839621,7.602173448,12134,Norte de Santander,Bochalema,4242,2341,6583
-73.37630561,7.447371519,12298,Santander,Rionegro,23230,6152,29382
-72.89673244,7.59050211,11719,Norte de Santander,Arboledas,6971,2299,9270
-74.87564682,7.482904123,11772,Antioquia,Zaragoza,14357,12602,26959
-73.5968779,7.418422154,12277,Santander,Sabana De Torres,8113,11659,19772
-72.6041309,7.55544869,12653,Norte de Santander,Chinacota,5227,9557,14784
-72.53956439,7.566897602,11666,Norte de Santander,Ragonvalia,4025,2775,6800
-73.0590229,7.516957518,12097,Santander,Surata,2990,672,3662
-72.8240901,7.470753632,12275,Norte de Santander,Cucutilla,7159,1288,8447
-73.19559248,7.516989379,12085,Santander,El Playon,7597,5551,13148
-72.65964781,7.458149353,11816,Norte de Santander,Pamplonita,3970,822,4792
-72.51920713,7.466716153,11806,Norte de Santander,Herran,3388,1113,4501
-74.24468615,7.312723273,12665,Bolivar,San Pablo,6058,20952,27010
-72.99737648,7.407450141,12445,Santander,California,944,849,1793
-77.70277557,7.128094521,12325,Choco,Jurado,1934,1675,3609
-74.65884695,7.247706925,12428,Antioquia,Segovia,7023,28048,35071
-72.93287188,7.335391333,12278,Santander,Vetas,1180,1169,2349
-72.33902509,7.20793993,11730,Norte de Santander,Toledo,13006,4266,17272
-73.08195833,7.336680666,11608,Santander,Matanza,4703,1137,5840
-74.12968824,7.229195989,12539,Bolivar,Cantagallo,4614,3197,7811
-72.69951449,7.349397367,12172,Norte de Santander,Pamplona,4508,48639,53147
-75.12182054,7.177462831,12024,Antioquia,Anori,9736,5280,15016
-75.39568841,7.273885659,11939,Antioquia,Valdivia,12442,4848,17290
-75.87050594,7.256721846,11735,Antioquia,Ituango,19072,6016,25088
-73.31566256,7.197123372,12646,Santander,Lebrija,17082,13898,30980
-72.55286492,7.245581261,11581,Norte de Santander,Labateca,4554,1298,5852
-72.79878502,7.298099517,11671,Norte de Santander,Mutiscua,3316,591,3907
-73.00714336,7.24488646,12358,Santander,Charta,2559,583,3142
-72.67831141,7.250459456,12479,Norte de Santander,Cacota,1841,742,2583
-72.81900911,7.147377322,12241,Norte de Santander,Silos,4344,940,5284
-74.99203561,6.979028692,11572,Antioquia,Amalfi,9589,10936,20525
-74.17685548,6.90737842,12620,Antioquia,Yondo,7917,7180,15097
-73.31728026,7.068632066,12078,Santander,Giron,17850,117941,135791
-74.57260183,6.973594089,12611,Antioquia,Remedios,14657,8112,22769
-72.96558089,7.157277584,11945,Santander,Tona,6181,509,6690
-75.46779615,6.988398376,11629,Antioquia,Yarumal,14637,26603,41240
-72.5507277,7.032020283,11894,Norte de Santander,Chitaga,6771,3408,10179
-73.13278616,7.137159365,12589,Santander,Bucaramanga,7296,509216,516512
-73.78312723,7.044181963,11991,Santander,Barrancabermeja,19248,170810,190058
-75.5735733,7.110453766,11616,Antioquia,Briceno,6610,2173,8783
-75.88534579,7.045724243,11988,Antioquia,Peque,8039,1582,9621
-76.32476978,6.995846201,11612,Antioquia,Dabeiba,15480,8604,24084
-75.31522406,7.034269608,12160,Antioquia,Campamento,7238,2450,9688
-73.52244869,6.868160552,11633,Santander,San Vicente De Chucuri,20562,12705,33267
-73.08583066,7.063172262,11932,Santander,Floridablanca,10824,243859,254683
-73.39157675,6.996235495,11972,Santander,Betulia,4167,1183,5350
-73.0237932,6.955364073,12198,Santander,Piedecuesta,24628,92736,117364
-75.72169442,7.005625814,12282,Antioquia,Toledo,4352,1345,5697
-70.54598851,6.795668129,12037,Arauca,Arauca,12923,62634,75557
-72.93157442,6.938192816,11899,Santander,Santa Barbara,1951,360,2311
-75.80395123,6.895415683,11968,Antioquia,Sabanalarga,5616,2577,8193
-71.88171021,6.88256716,11600,Arauca,Saravena,14222,28544,42766
-71.2966662,6.764328096,12305,Arauca,Arauquita,21667,15078,36745
-72.84791624,6.915953312,11738,Santander,Guaca,4960,1956,6916
-76.11097134,6.96010748,12205,Antioquia,Uramita,5927,2377,8304
-72.21172442,6.856343022,12374,Boyaca,Cubara,4876,1738,6614
-76.70850062,6.823235844,12114,Antioquia,Murindo,2636,1100,3736
-75.65987865,6.934637841,12263,Antioquia,San Andres De Cuerquia,4916,2451,7367
-76.03076503,6.837605167,12055,Antioquia,Canasgordas,11384,5432,16816
-72.67103103,6.89069591,12451,Santander,Cerrito,3841,2478,6319
-73.29587308,6.818452967,12412,Santander,Zapatoca,3663,5786,9449
-75.9170074,6.81199492,12159,Antioquia,Buritica,5460,1495,6955
-74.78696593,6.816655844,11920,Antioquia,Vegachi,4824,6469,11293
-75.36101888,6.858287079,11635,Antioquia,Angostura,10423,2096,12519
-75.23817855,6.855809778,11925,Antioquia,Guadalupe,4342,1889,6231
-73.71890566,6.648616709,12389,Santander,Simacota,6686,2224,8910
-72.83406932,6.783763015,11745,Santander,San Andres,7016,2767,9783
-76.31932037,6.709327579,12073,Antioquia,Frontino,12416,7615,20031
-75.6975646,6.822048022,12486,Antioquia,San Jose De La Montana,1002,2101,3103
-75.20550618,6.698480967,12339,Antioquia,Gomez Plata,6180,5072,11252
-72.63435441,6.770203828,11667,Santander,Concepcion,3410,2498,5908
-73.12489844,6.797344699,12678,Santander,Los Santos,9430,1547,10977
-77.09710726,6.481317454,11942,Choco,Bojaya,5369,4572,9941
-73.6154204,6.670372219,11929,Santander,El Carmen De Chucuri,13344,4754,18098
-75.46002424,6.669882622,12002,Antioquia,Santa Rosa De Osos,16322,14703,31025
-73.98223946,6.67653434,12349,Santander,Puerto Parra,3679,2835,6514
-71.89263547,6.636953065,11794,Arauca,Fortul,11842,10009,21851
-76.68829693,6.442959271,11699,Antioquia,Vigia Del Fuerte,3365,2122,5487
-72.44230505,6.654567082,11881,Boyaca,Chiscas,4337,1035,5372
-75.32130738,6.748060853,11947,Antioquia,Carolina,944,3027,3971
-74.93871772,6.633963239,11592,Antioquia,Yolombo,13934,6091,20025
-73.02877079,6.704501268,11824,Santander,Aratoca,6188,2207,8395
-77.36170964,6.304711755,11994,Choco,Bahia Solano,4864,4230,9094
-72.94909193,6.733753854,12383,Santander,Cepita,1541,481,2022
-75.79851119,6.722169948,12368,Antioquia,Liborina,7619,1856,9475
-75.65686908,6.624096899,12050,Antioquia,Belmira,4505,1683,6188
-74.790176,6.702571223,11642,Antioquia,Yali,4753,2981,7734
-73.34231555,6.662666051,12663,Santander,Galan,2215,777,2992
-72.77102764,6.707484779,11909,Santander,Malaga,3524,15182,18706
-74.17447717,6.42830271,12372,Santander,Cimitarra,21521,12772,34293
-73.17780959,6.66554723,11614,Santander,Villanueva,3473,3505,6978
-76.09037117,6.625740004,11844,Antioquia,Abriaqui,1832,858,2690
-72.59324839,6.647990147,12348,Santander,Carcasi,4588,612,5200
-74.53934729,6.47164902,12531,Antioquia,Puerto Berrio,4760,34193,38953
-73.10966363,6.698568009,12287,Santander,Jordan,1100,64,1164
-72.27308088,6.536789587,12283,Boyaca,Guican,6202,1667,7869
-75.95591307,6.661281492,12033,Antioquia,Giraldo,2987,1201,4188
-73.2338683,6.645561905,11883,Santander,Barichara,4997,2654,7651
-72.70708206,6.646518032,11761,Santander,Enciso,3362,627,3989
-72.85224653,6.626248159,11867,Santander,Molagavita,4979,785,5764
-70.10032898,6.328157243,11923,Arauca,Cravo Norte,1270,2391,3661
-71.76805443,6.356920495,12647,Arauca,Tame,28442,19134,47576
-72.77361513,6.611116596,11858,Santander,San Jose De Miranda,3919,936,4855
-75.57156136,6.590011028,12408,Antioquia,Entrerrios,4504,3943,8447
-73.04601392,6.606302322,11866,Santander,Curiti,8117,3347,11464
-70.93611204,6.388666651,12573,Arauca,Puerto Rondon,1307,2655,3962
-75.78611688,6.603518387,12315,Antioquia,Olaya,2604,312,2916
-75.91571317,6.535384257,11833,Antioquia,Santafe De Antioquia,9267,13636,22903
-73.26765973,6.564402352,12673,Santander,Cabrera,1458,466,1924
-73.13870921,6.544548751,12537,Santander,San Gil,6432,37087,43519
-74.73520042,6.519849052,12441,Antioquia,Maceo,4630,3000,7630
-72.98458255,6.474205631,12297,Santander,Mogotes,7401,3551,10952
-73.37935742,6.546895849,11843,Santander,Hato,1659,742,2401
-75.7626273,6.515212754,12648,Antioquia,Sopetran,7431,5954,13385
-72.66509627,6.557174548,11679,Santander,San Miguel,2275,408,2683
-76.26583153,6.342301946,12166,Antioquia,Urrao,23798,15125,38923
-72.70351156,6.500306455,12096,Santander,Capitanejo,2907,3245,6152
-75.09414332,6.545065437,12216,Antioquia,Cisneros,1878,7804,9682
-72.61074996,6.497328082,12519,Santander,Macaravita,2447,306,2753
-72.77631854,6.497179141,12622,Boyaca,Covarachia,2828,496,3324
-75.36861907,6.498135085,12654,Antioquia,Don Matias,6304,11397,17701
-75.15464067,6.473477724,11795,Antioquia,Santo Domingo,9368,2199,11567
-73.18875978,6.508422815,11817,Santander,Pinchote,3277,1143,4420
-73.30739047,6.497388403,12261,Santander,Palmar,2048,835,2883
-72.87377047,6.441582988,12190,Santander,San Joaquin,2200,748,2948
-72.83240778,6.32436931,12009,Santander,Onzaga,4527,1180,5707
-74.9524644,6.444204188,11974,Antioquia,San Roque,12256,5901,18157
-73.72583336,6.232810978,12498,Santander,Velez,10065,9690,19755
-73.85135199,6.306517507,12523,Santander,Landazuri,12075,3117,15192
-73.2550225,6.456464634,11837,Santander,Socorro,6079,22997,29076
-75.99146448,6.425562422,12165,Antioquia,Caicedo,6236,1450,7686
-75.3432533,6.430761902,12021,Antioquia,Barbosa,23831,18608,42439
-72.49774757,6.467010223,11954,Boyaca,El Espino,2767,1230,3997
-75.5735205,6.452371648,12210,Antioquia,San Pedro,11301,10765,22066
-75.72720658,6.438226927,11871,Antioquia,San Jeronimo,8110,3517,11627
-73.60036657,6.3969417,12582,Santander,Santa Helena Del Opon,3898,575,4473
-73.18027843,6.437489661,12137,Santander,Paramo,2546,1125,3671
-72.54099233,6.417446778,12068,Boyaca,Guacamayas,1546,586,2132
-73.12946454,6.419835005,11695,Santander,Valle De San Jose,3497,1818,5315
-72.57795923,6.377038308,11753,Boyaca,San Mateo,3319,1471,4790
-73.42533166,6.362893779,12639,Santander,Chima,2513,825,3338
-72.47515598,6.404933136,12250,Boyaca,Panqueba,1214,645,1859
-72.72189721,6.396913539,12430,Boyaca,Tipacoque,2902,953,3855
-74.74194128,6.326497892,12236,Antioquia,Caracoli,2020,2835,4855
-75.23380019,6.380897836,12281,Antioquia,Concepcion,3033,1476,4509
-75.4623076,6.367892256,12485,Antioquia,Girardota,17555,25011,42566
-72.64308686,6.30736249,12656,Boyaca,Boavita,5935,2861,8796
-75.51865775,6.352178021,11820,Antioquia,Copacabana,8405,52829,61234
-75.60205263,6.356132892,11729,Antioquia,Bello,13452,358139,371591
-75.80408516,6.323917711,11649,Antioquia,Ebejico,10383,2128,12511
-73.28150168,6.37287828,12362,Santander,Palmas Del Socorro,1819,624,2443
-75.92121123,6.305319954,11845,Antioquia,Anza,6260,1155,7415
-75.11498943,6.35254241,11965,Antioquia,Alejandria,1920,1896,3816
-72.43577754,6.328383917,11779,Boyaca,El Cocuy,2902,2680,5582
-75.01462847,6.303195011,12527,Antioquia,San Rafael,7128,6402,13530
